Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,IP Comm Status,IP Comm Status Date and Time,Published Screenshots,Screenshot Address,Funding,ID,Location
295, CONGRESS AVE / WILLIAM CANNON DR,TURNED_ON,3/1/2017,Spectra Enhanced,LOC16-002015,,SOUTHWEST,2,AUSTIN FULL PURPOSE,ROADWAY,,,6400, CONGRESS AVE,,100, WILLIAM CANNON DR,,5152526,10/22/2021 08:46:00 AM +0000,ONLINE,10/22/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/295.jpg,,5915fb4632901a3ba85917d5,POINT (-97.7788773 30.1930141)
411, RIVERSIDE DR / WICKERSHAM LN,TURNED_ON,8/9/2017,Spectra Enhanced,LOC16-001930,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4400, RIVERSIDE DR,,1401, WICKERSHAM LN,,5160049,10/22/2021 08:46:00 AM +0000,ONLINE,10/22/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/411.jpg,1/4 Cent,591a10a220eacf2d16669be6,POINT (-97.7204056 30.2323837)
468, BURNET RD / STECK AVE,TURNED_ON,7/9/2019,Advidia,LOC16-000380,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,8224, BURNET RD,,2501, STECK AVE,,5158619,10/22/2021 08:46:00 AM +0000,OFFLINE,10/22/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/468.jpg,None Identified,591a10a420eacf2d16669c59,POINT (-97.7293396 30.3618469)
575, 7TH ST / 35 SVRD,TURNED_ON,12/17/2018,Advidia,LOC16-001690,,CENTRAL,"3, 1",AUSTIN FULL PURPOSE,ROADWAY,,,800, 7TH ST,,700,IH 35 SVRD,,5158375,10/22/2021 08:46:00 AM +0000,ONLINE,10/22/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/575.jpg,None Identified,5c180d10a96b95086b885c2f,POINT (-97.7338562 30.266571)
481,FM 2222 RD / CITY PARK RD,TURNED_ON,7/8/2017,Advidia,LOC16-002625,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,6200,FM 2222 RD,,5914, CITY PARK RD,,5150327,10/29/2021 07:33:00 PM +0000,ONLINE,10/28/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/481.jpg,1/4 Cent,591a10a420eacf2d16669c73,POINT (-97.7974396 30.3658009)
516, PARMER LN / DALLAS DR,TURNED_ON,7/11/2017,Advidia,LOC16-003865,,NORTHWEST,6,AUSTIN LTD,ROADWAY,,,6901, PARMER LN,,6801, DALLAS DR,,5155524,10/29/2021 07:39:00 PM +0000,ONLINE,10/28/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/516.jpg,None Identified,59652e0aefa4b64ee0fb5aba,POINT (-97.7474213 30.4502716)
784, GUADALUPE ST / 22ND ST,TURNED_ON,9/30/2019,Advidia,LOC16-000185,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,2100, GUADALUPE ST,,401, 22ND ST,,5157071,10/31/2021 08:46:00 AM +0000,OFFLINE,10/31/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/784.jpg,None Identified,5d937a595b268e00100594e2,POINT (-97.7418137 30.2849979)
785, GUADALUPE ST / WEST MALL UT  (UT CROSSWALK),TURNED_ON,9/30/2019,Advidia,LOC16-000190,UT CROSSWALK,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,2200, GUADALUPE ST,,1, WEST MALL UT ,,5157078,10/31/2021 08:46:00 AM +0000,OFFLINE,10/31/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/785.jpg,None Identified,5d937a9c45006400105b969f,POINT (-97.7417374 30.2858925)
820, 38TH HALF ST / 35 SVRD,TURNED_ON,,Advidia,LOC16-000355,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1100, 38TH HALF ST,,3500,IH 35 SVRD,,5159970,10/16/2021 08:46:00 AM +0000,OFFLINE,10/16/2021 08:36:00 AM +0000,,https://cctv.austinmobility.io/image/820.jpg,None Identified,5f8da89d4e4035067602f2a6,POINT (-97.7193832 30.2947578)
1280,FM 620 RD / VISTA PARKE DR,TURNED_ON,10/20/2021,Advidia,LOC19-015260,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,7814,FM 620 RD,,11601, VISTA PARKE DR,,5145747,10/21/2021 08:40:00 AM +0000,ONLINE,10/21/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/1280.jpg,None Identified,617051319179da001ec00f25,POINT (-97.849573 30.412386)
794, OLTORF ST / DURWOOD ST,TURNED_ON,2/10/2020,Advidia,LOC16-005035,,SOUTHWEST,"3, 9",AUSTIN FULL PURPOSE,ROADWAY,,,500, OLTORF ST,,2401, DURWOOD ST,,5154929,10/17/2021 08:40:00 AM +0000,ONLINE,10/17/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/794.jpg,None Identified,5e41c3c5018ac500155bd178,POINT (-97.7579803 30.2413483)
738,12500 BLK N LAMAR BLVD (WALMART),TURNED_ON,9/6/2019,Advidia,LOC16-002650,WALMART,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,12500, LAMAR BLVD,,,,,,10/18/2021 08:40:00 AM +0000,ONLINE,10/18/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/738.jpg,None Identified,5d72ba2e92dcd10013405380,POINT (-97.677851 30.411049)
267, CAPITAL OF TEXAS HWY / COURTYARD DR,TURNED_ON,,Advidia,LOC16-004195,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,5409, CAPITAL OF TEXAS HWY,,5400, COURTYARD DR,,5150534,09/19/2021 06:17:00 PM +0000,ONLINE,05/07/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/267.jpg,None Identified,582a419b5e304c982be5c3d8,POINT (-97.7952881 30.352457)
266, CAPITAL OF TEXAS HWY / SPICEWOOD SPRINGS RD (EAST - BLUFFSTONE DR ),TURNED_ON,,Advidia,LOC16-004185,EAST - BLUFFSTONE DR ,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,8400, CAPITAL OF TEXAS HWY,,5301, SPICEWOOD SPRINGS RD,,5153292,09/19/2021 06:17:00 PM +0000,ONLINE,02/17/2021 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/266.jpg,None Identified,582a419b5e304c982be5c3da,POINT (-97.7667313 30.3850155)
599, AVERY RANCH BLVD / STAKED PLAINS DR,TURNED_ON,10/16/2019,Advidia,LOC16-004410,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,14001, AVERY RANCH BLVD,,11300, STAKED PLAINS DR,,5150543,10/26/2021 08:40:00 AM +0000,ONLINE,10/26/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/599.jpg,None Identified,5c9ce99d53fc8a2f42473c21,POINT (-97.7914963 30.4941616)
332, CAMERON RD / 290 HWY SVRD,REMOVED,6/20/2018,Sarix,LOC16-003215,,NORTHEAST,"4, 1",AUSTIN FULL PURPOSE,ROADWAY,,,6313, CAMERON RD,,6421,US 290 HWY SVRD,,5162397,10/25/2021 05:36:00 PM +0000,ONLINE,07/08/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/332.jpg,1/4 Cent,591a109e20eacf2d16669b48,POINT (-97.6958618 30.3207817)
911,IH 35 SVRD / WOODLAND AVE,TURNED_ON,,Advidia,LOC16-001890,,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,1600,IH 35 SVRD,,1574, WOODLAND AVE,,5158064,10/25/2021 08:40:00 AM +0000,ONLINE,10/25/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/911.jpg,None Identified,5f8da8a94e4035067602f43e,POINT (-97.7364731 30.2406349)
756, BURNET RD / ASHDALE DR,TURNED_ON,9/13/2019,Advidia,LOC16-005365,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,8004, BURNET RD,,2401, ASHDALE DR,,5158531,10/27/2021 08:40:00 AM +0000,ONLINE,10/27/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/756.jpg,None Identified,5d7c198ccefd060010355f21,POINT (-97.7301715 30.3585956)
241, BRODIE LN / DAVIS LN,TURNED_ON,,Advidia,LOC16-003750,,SOUTHWEST,"5, 8",AUSTIN FULL PURPOSE,ROADWAY,,,8900, BRODIE LN,,3301, DAVIS LN,,5146913,10/29/2021 07:30:00 PM +0000,ONLINE,10/29/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/241.jpg,None Identified,582a419c5e304c982be5c40c,POINT (-97.8422852 30.1953335)
76, 38TH HALF ST / 35 SVRD,TURNED_ON,,Advidia,LOC16-000315,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1014, 38TH HALF ST,,3820,IH 35 SVRD,,5159923,10/16/2021 08:46:00 AM +0000,ONLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/76.jpg,None Identified,582a41a05e304c982be5c556,POINT (-97.7197723 30.294981)
502,FM 620 RD / BOULDER LN (South),TURNED_ON,6/27/2017,Spectra Enhanced,LOC16-004375,South,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,8400,FM 620 RD,,10200, BOULDER LN,,5146359,10/28/2021 08:45:00 AM +0000,OFFLINE,10/28/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/502.jpg,None Identified,5952f752cc917550e29aa7df,POINT (-97.842659 30.4287834)
508, ENFIELD RD / EXPOSITION BLVD,TURNED_ON,9/26/2016,Advidia,LOC16-003700,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,2700, ENFIELD RD,,1500, EXPOSITION BLVD,,5152981,10/29/2021 07:49:00 PM +0000,ONLINE,10/26/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/508.jpg,None Identified,59542f344f7fd15c971693eb,POINT (-97.7720566 30.2905979)
12, ROSS RD / SAINT THOMAS DR,TURNED_ON,11/16/2016,Advidia,LOC16-004705,,SOUTHEAST,2,AUSTIN 2 MILE ETJ,ROADWAY,,,4500, ROSS RD,,12818, SAINT THOMAS DR,,5168394,10/22/2021 08:45:00 AM +0000,ONLINE,10/22/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/12.jpg,None Identified,582c83276703af1e2d14d77b,POINT (-97.6151962 30.1783047)
46, CIRCUIT OF THE AMERICAS BLVD / ELROY RD (COTA NORTH GATE),TURNED_ON,9/27/2017,Advidia,LOC16-006925,COTA NORTH GATE,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,7800, CIRCUIT OF THE AMERICAS BLVD,,7713, ELROY RD,,5168033,10/16/2021 08:46:00 AM +0000,ONLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/46.jpg,None Identified,582a41a15e304c982be5c592,POINT (-97.623441 30.146154)
44,9143 BLK CIRCUIT OF THE AMERICAS BLVD (COTA TOWER NORTH),TURNED_ON,10/2/2017,Advidia,LOC16-006935,COTA TOWER NORTH,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,9143, CIRCUIT OF THE AMERICAS BLVD,,,,,,10/16/2021 08:46:00 AM +0000,ONLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/44.jpg,None Identified,582a41a15e304c982be5c596,POINT (-97.638195 30.134634)
19, BRAKER LN / LAMAR BLVD,TURNED_ON,11/16/2016,Spectra Enhanced,LOC16-002300,,NORTHEAST,"7, 4",AUSTIN FULL PURPOSE,BUILDING,,,700, BRAKER LN,,11300, LAMAR BLVD,,5163282,10/16/2021 08:46:00 AM +0000,OFFLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/19.jpg,None Identified,582c83276703af1e2d14d76d,POINT (-97.6863708 30.3819351)
9, ESCARPMENT BLVD / WILLIAM CANNON DR,TURNED_ON,11/16/2016,Advidia,LOC16-002065,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,6900, ESCARPMENT BLVD,,5901, WILLIAM CANNON DR,,5144930,10/16/2021 08:46:00 AM +0000,OFFLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/9.jpg,None Identified,582c83276703af1e2d14d781,POINT (-97.8645477 30.2299938)
4, 35TH ST / PECOS ST,TURNED_ON,11/30/2016,Spectra Enhanced,LOC16-003630,,CENTRAL,10,AUSTIN FULL PURPOSE,ROADWAY,,,3100, 35TH ST,,3400, PECOS ST,,5153473,10/16/2021 08:40:00 AM +0000,ONLINE,10/16/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/4.jpg,None Identified,585981b90a478f904608bdd2,POINT (-97.76716 30.31354)
371, PLEASANT VALLEY RD / STASSNEY LN,TURNED_ON,2/8/2018,Advidia,LOC16-001685,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,5205, PLEASANT VALLEY RD,,4610, STASSNEY LN,,5157006,10/16/2021 08:46:00 AM +0000,ONLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/371.jpg,1/4 Cent,591a10a020eacf2d16669b96,POINT (-97.7446823 30.193985)
537,9143 BLK CIRCUIT OF THE AMERICAS BLVD (COTA TOWER ADVIDIA),TURNED_ON,10/13/2017,Advidia,LOC17-011365,COTA TOWER ADVIDIA,SOUTHEAST,2,AUSTIN FULL PURPOSE,BUILDING,,,9143, CIRCUIT OF THE AMERICAS BLVD,,,,,,10/16/2021 08:46:00 AM +0000,ONLINE,10/16/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/537.jpg,None Identified,59e4f0d85606af4a61cad964,POINT (-97.637593 30.134247)
265, CAPITAL OF TEXAS HWY / GREAT HILLS TRL,TURNED_ON,,Sarix,LOC16-004180,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,8400, CAPITAL OF TEXAS HWY,,8901, GREAT HILLS TRL,,5154176,09/19/2021 06:17:00 PM +0000,ONLINE,02/17/2021 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/265.jpg,,582a419c5e304c982be5c3dc,POINT (-97.7598343 30.3881397)
30, 3RD ST / BOWIE ST (SPRING CONDOS - WEST),TURNED_ON,3/8/2018,Advidia,LOC16-006995,SPRING CONDOS - WEST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,900, 3RD ST,,300, BOWIE ST,,,10/26/2021 08:46:00 AM +0000,OFFLINE,10/26/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/30.jpg,None Identified,582a41a15e304c982be5c5b2,POINT (-97.754318 30.268963)
264, CAPITAL OF TEXAS HWY / LAKEWOOD DR,TURNED_ON,,Advidia,LOC16-004175,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,6822, CAPITAL OF TEXAS HWY,,7200, LAKEWOOD DR,,5151320,10/29/2021 07:28:00 PM +0000,ONLINE,10/29/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/264.jpg,None Identified,582a419c5e304c982be5c3de,POINT (-97.7856598 30.3716736)
816, GUADALUPE ST / 26TH ST,TURNED_ON,,Advidia,LOC16-000205,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,2520, GUADALUPE ST,,401, 26TH ST,,5157124,10/31/2021 08:46:00 AM +0000,OFFLINE,10/31/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/816.jpg,None Identified,5f8da89c4e4035067602f283,POINT (-97.7412796 30.2904701)
1281,5613 BLK SOUTHWEST PKWY (Encino Trace Office Park),TURNED_ON,10/29/2021,Advidia,LOC17-007425,Encino Trace Office Park,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,5613, SOUTHWEST PKWY,,,,,,10/29/2021 06:48:00 PM +0000,OFFLINE,10/29/2021 05:00:00 AM +0000,,https://cctv.austinmobility.io/image/1281.jpg,None Identified,617c41fc9db60d001eb6dbff,POINT (-97.843624 30.244806)
656, JOHNNY MORRIS RD / LOYOLA LN,TURNED_ON,4/28/2021,Advidia,LOC16-003575,,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,6700, JOHNNY MORRIS RD,,5911, LOYOLA LN,,5166424,10/27/2021 08:40:00 AM +0000,ONLINE,10/27/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/656.jpg,None Identified,5d40361fbe922400105bc9b9,POINT (-97.6482162 30.3002377)
263, CAPITAL OF TEXAS HWY / SPICEWOOD SPRINGS RD (WEST),TURNED_ON,,Sarix,LOC16-004170,WEST,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,8000, CAPITAL OF TEXAS HWY,,5401, SPICEWOOD SPRINGS RD,,5152791,09/19/2021 06:17:00 PM +0000,ONLINE,02/17/2021 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/263.jpg,,582a419c5e304c982be5c3e0,POINT (-97.7713623 30.382658)
262,5501 BLK MC NEIL DR (MCNEIL HIGH SCHOOL),TURNED_ON,8/11/2017,Sarix,LOC16-004125,MCNEIL HIGH SCHOOL,NORTHWEST,,AUSTIN 2 MILE ETJ,ROADWAY,,,5501, MC NEIL DR,,,,,,09/19/2021 06:17:00 PM +0000,ONLINE,02/20/2021 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/262.jpg,None Identified,582a419c5e304c982be5c3e2,POINT (-97.7313156 30.4473038)
156, 1ST ST / ST ELMO RD,TURNED_ON,,Advidia,LOC16-001970,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4400, 1ST ST,,601, ST ELMO RD,,5153096,09/19/2021 06:17:00 PM +0000,ONLINE,11/27/2020 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/156.jpg,None Identified,582a419f5e304c982be5c4b6,POINT (-97.7728806 30.2210426)
186, BEN WHITE BLVD SVRD / WOODWARD ST,TURNED_ON,,Advidia,LOC16-002465,,SOUTHEAST,"3, 2",AUSTIN FULL PURPOSE,ROADWAY,,,2019, BEN WHITE BLVD SVRD,,2070, WOODWARD ST,,5157007,10/29/2021 07:33:00 PM +0000,ONLINE,10/19/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/186.jpg,None Identified,582a419e5e304c982be5c47a,POINT (-97.744072 30.2157249)
70, DEAN KEETON ST / GUADALUPE ST,TURNED_ON,,Advidia,LOC16-000200,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,300, DEAN KEETON ST,,2520, GUADALUPE ST,,5157120,10/30/2021 08:45:00 AM +0000,OFFLINE,10/30/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/70.jpg,None Identified,582a41a05e304c982be5c562,POINT (-97.7413559 30.289814)
137, PEARCE LN / ROSS RD,TURNED_ON,,Advidia,LOC16-001575,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,12400, PEARCE LN,,5413, ROSS RD,,5168019,10/21/2021 07:19:00 PM +0000,ONLINE,10/21/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/137.jpg,None Identified,582a419f5e304c982be5c4dc,POINT (-97.6231079 30.1694298)
69, GUADALUPE ST / 24TH ST,TURNED_ON,,Sarix,LOC16-000195,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,2400, GUADALUPE ST,,401, 24TH ST,,5157100,10/28/2021 08:45:00 AM +0000,OFFLINE,10/28/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/69.jpg,None Identified,582a41a05e304c982be5c564,POINT (-97.7415466 30.2877197)
143, 7TH ST / 35 SVRD,TURNED_ON,11/26/2019,Advidia,LOC16-001640,,CENTRAL,"3, 1, 9",AUSTIN FULL PURPOSE,ROADWAY,,,700, 7TH ST,,700,IH 35 SVRD,,5158252,10/22/2021 08:45:00 AM +0000,ONLINE,10/22/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/143.jpg,None Identified,582a419f5e304c982be5c4d0,POINT (-97.7346649 30.2668209)
61, GUADALUPE ST / MARTIN LUTHER KING JR BLVD,TURNED_ON,,Advidia,LOC16-000110,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1900, GUADALUPE ST,,401, MARTIN LUTHER KING JR BLVD,,5157068,10/30/2021 08:45:00 AM +0000,OFFLINE,10/30/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/61.jpg,None Identified,582a41a15e304c982be5c574,POINT (-97.7419281 30.2817326)
693, LAVACA ST / 17TH ST,TURNED_ON,8/6/2019,Advidia,LOC16-004765,,CENTRAL,"1, 9",AUSTIN FULL PURPOSE,ROADWAY,,,1700, LAVACA ST,,301, 17TH ST,,5157176,10/29/2021 08:40:00 AM +0000,ONLINE,10/29/2021 08:30:00 AM +0000,,https://cctv.austinmobility.io/image/693.jpg,None Identified,5d405a4ecc1c8900108d9674,POINT (-97.7412033 30.2794685)
261, SPICEWOOD SPRINGS RD / FOUR IRON DR,TURNED_ON,,Sarix,LOC16-004120,,NORTHWEST,"10, 6",AUSTIN FULL PURPOSE,ROADWAY,,,8551, SPICEWOOD SPRINGS RD,,11600, FOUR IRON DR,,5151885,09/19/2021 06:17:00 PM +0000,ONLINE,02/20/2021 09:35:00 AM +0000,,https://cctv.austinmobility.io/image/261.jpg,None Identified,582a419c5e304c982be5c3e4,POINT (-97.7782974 30.4316254)
53, 4TH ST / TRINITY ST,TURNED_ON,2/27/2018,Sarix,LOC16-006895,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,300, 4TH ST,,400, TRINITY ST,,5157405,10/19/2021 08:46:00 AM +0000,OFFLINE,10/19/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/53.jpg,None Identified,582a41a15e304c982be5c584,POINT (-97.739986 30.265235)
89, 38TH ST / LAMAR BLVD,TURNED_ON,10/19/2021,Advidia,LOC16-000510,,CENTRAL,"10, 9",AUSTIN FULL PURPOSE,ROADWAY,,,1000, 38TH ST,,3800, LAMAR BLVD,,5156777,10/20/2021 08:46:00 AM +0000,ONLINE,10/20/2021 08:35:00 AM +0000,,https://cctv.austinmobility.io/image/89.jpg,None Identified,582a41a05e304c982be5c53c,POINT (-97.7430496 30.3051968)
